date,cycle,open,lastclose,close,high,low,share,amount,time,macd,avg5,avg10,avg20,avg60
20160823,60,20.8,,20.74,20.8,20.59,3063750.0,,34200,0.0,,,,
20160823,60,20.73,,20.94,20.97,20.73,986093.0,,34260,0.026,,,,
20160823,60,20.94,,20.84,20.98,20.8,1075911.0,,34320,0.027,,,,
20160823,60,20.85,,20.89,20.89,20.81,723900.0,,34380,0.033,,,,
20160823,60,20.89,,20.9,20.96,20.88,1146700.0,,34440,0.036,20.862,,,
20160823,60,20.86,,20.8,20.9,20.78,746689.0,,34500,0.023,20.874,,,
20160823,60,20.78,,20.66,20.8,20.65,471550.0,,34560,-0.004,20.818,,,
20160823,60,20.66,,20.8,20.83,20.66,418261.0,,34620,-0.004,20.81,,,
20160823,60,20.8,,20.78,20.82,20.76,446200.0,,34680,-0.006,20.788,,,
20160823,60,20.77,,20.77,20.79,20.71,317700.0,,34740,-0.009,20.762,20.812,,
20160823,60,20.75,,20.93,20.93,20.75,269600.0,,34800,0.01,20.788,20.831,,
20160823,60,20.93,,21.19,21.19,20.93,978162.0,,34860,0.054,20.894,20.856,,
20160823,60,21.18,,21.39,21.44,21.17,1948111.0,,34920,0.104,21.012,20.911,,
20160823,60,21.34,,21.74,21.78,21.34,1748607.0,,34980,0.174,21.204,20.996,,
20160823,60,21.78,,21.74,21.88,21.65,2480279.0,,35040,0.208,21.398,21.08,,
20160823,60,21.74,,22.23,22.3,21.74,1460318.0,,35100,0.279,21.658,21.223,,
20160823,60,22.26,,22.24,22.38,22.18,2706981.0,,35160,0.308,21.868,21.381,,
20160823,60,22.2,,22.09,22.2,21.95,879963.0,,35220,0.288,22.008,21.51,,
20160823,60,22.09,,22.64,22.68,22.09,1311259.0,,35280,0.327,22.188,21.696,,
20160823,60,22.67,,22.38,22.67,22.38,1312100.0,,35340,0.297,22.316,21.857,21.3345,
20160823,60,22.36,,22.56,22.59,22.3,815100.0,,35400,0.281,22.382,22.02,21.4255,
20160823,60,22.6,,22.27,22.6,22.2,945541.0,,35460,0.213,22.388,22.128,21.492,
20160823,60,22.2,,22.19,22.2,22.1,383304.0,,35520,0.143,22.408,22.208,21.5595,
20160823,60,22.2,,22.38,22.38,22.2,444479.0,,35580,0.11,22.356,22.272,21.634,
20160823,60,22.38,,22.15,22.38,22.15,485031.0,,35640,0.047,22.31,22.313,21.6965,
20160823,60,22.14,,22.01,22.15,22.01,496100.0,,35700,-0.019,22.2,22.291,21.757,
20160823,60,22.0,,22.04,22.1,22.0,528800.0,,35760,-0.063,22.154,22.271,21.826,
20160823,60,22.1,,22.25,22.25,22.1,283860.0,,35820,-0.066,22.166,22.287,21.8985,
20160823,60,22.22,,22.14,22.26,22.14,397200.0,,35880,-0.086,22.118,22.237,21.9665,
20160823,60,22.15,,22.21,22.24,22.13,223300.0,,35940,-0.091,22.13,22.22,22.0385,
20160823,60,22.22,,22.33,22.33,22.22,236000.0,,36000,-0.08,22.194,22.197,22.1085,
20160823,60,22.35,,22.43,22.44,22.33,361825.0,,36060,-0.062,22.272,22.213,22.1705,
20160823,60,22.44,,22.21,22.44,22.21,176600.0,,36120,-0.081,22.264,22.215,22.2115,
20160823,60,22.22,,22.33,22.33,22.2,203900.0,,36180,-0.079,22.302,22.21,22.241,
20160823,60,22.33,,22.36,22.36,22.31,143500.0,,36240,-0.075,22.332,22.231,22.272,
20160823,60,22.35,,22.25,22.35,22.25,180200.0,,36300,-0.088,22.316,22.255,22.273,
20160823,60,22.25,,22.19,22.26,22.19,206800.0,,36360,-0.104,22.268,22.27,22.2705,
20160823,60,22.19,,22.11,22.19,22.1,144000.0,,36420,-0.124,22.248,22.256,22.2715,
20160823,60,22.11,,22.2,22.2,22.11,121765.0,,36480,-0.123,22.222,22.262,22.2495,
20160823,60,22.2,,22.22,22.25,22.2,122500.0,,36540,-0.117,22.194,22.263,22.2415,
20160823,60,22.26,,22.28,22.28,22.25,101900.0,,36600,-0.103,22.2,22.258,22.2275,
20160823,60,22.28,,22.31,22.31,22.28,116900.0,,36660,-0.089,22.224,22.246,22.2295,
20160823,60,22.31,,22.33,22.33,22.3,121611.0,,36720,-0.077,22.268,22.258,22.2365,
20160823,60,22.33,,22.3,22.33,22.28,115789.0,,36780,-0.072,22.288,22.255,22.2325,
20160823,60,22.26,,22.28,22.3,22.26,129400.0,,36840,-0.071,22.3,22.247,22.239,
20160823,60,22.28,,22.21,22.28,22.2,116400.0,,36900,-0.078,22.286,22.243,22.249,
20160823,60,22.22,,22.22,22.25,22.2,109000.0,,36960,-0.08,22.268,22.246,22.258,
20160823,60,22.24,,22.28,22.28,22.24,103700.0,,37020,-0.072,22.258,22.263,22.2595,
20160823,60,22.29,,22.3,22.3,22.28,149400.0,,37080,-0.064,22.258,22.273,22.2675,
20160823,60,22.3,,22.3,22.32,22.3,99600.0,,37140,-0.057,22.262,22.281,22.272,
20160823,60,22.3,,22.31,22.32,22.3,74600.0,,37200,-0.051,22.282,22.284,22.271,
20160823,60,22.3,,22.55,22.55,22.29,483911.0,,37260,-0.016,22.348,22.308,22.277,
20160823,60,22.57,,23.24,23.26,22.55,829604.0,,37320,0.093,22.54,22.399,22.3285,
20160823,60,23.27,,23.1,23.27,23.1,1017300.0,,37380,0.137,22.7,22.479,22.367,
20160823,60,23.14,,23.0,23.14,22.97,300400.0,,37440,0.141,22.84,22.551,22.399,
20160823,60,22.98,,22.98,23.0,22.97,192000.0,,37500,0.131,22.974,22.628,22.4355,
20160823,60,23.0,,23.16,23.16,22.98,286400.0,,37560,0.138,23.096,22.722,22.484,
20160823,60,23.18,,23.27,23.27,23.18,1225339.0,,37620,0.146,23.102,22.821,22.542,
20160823,60,23.27,,23.27,23.27,23.27,289001.0,,37680,0.139,23.136,22.918,22.5955,
20160823,60,23.27,,23.27,23.27,23.27,67700.0,,37740,0.123,23.19,23.015,22.648,22.0746666667
20160823,60,23.27,,23.27,23.27,23.27,201800.0,,37800,0.103,23.248,23.111,22.6975,22.1168333333
20160823,60,23.27,,23.27,23.27,23.27,62200.0,,37860,0.08,23.27,23.183,22.7455,22.1556666667
20160823,60,23.27,,23.27,23.27,23.27,69800.0,,37920,0.056,23.27,23.186,22.7925,22.1961666667
20160823,60,23.27,,23.27,23.27,23.27,17600.0,,37980,0.034,23.27,23.203,22.841,22.2358333333
20160823,60,23.27,,23.27,23.27,23.27,44500.0,,38040,0.013,23.27,23.23,22.8905,22.2753333333
20160823,60,23.27,,23.27,23.27,23.27,36100.0,,38100,-0.006,23.27,23.259,22.9435,22.3165
20160823,60,23.27,,23.27,23.27,23.27,68800.0,,38160,-0.022,23.27,23.27,22.996,22.36
20160823,60,23.27,,23.27,23.27,23.27,86400.0,,38220,-0.036,23.27,23.27,23.0455,22.4011666667
20160823,60,23.27,,23.27,23.27,23.27,112401.0,,38280,-0.048,23.27,23.27,23.094,22.4426666667
20160823,60,23.27,,23.27,23.27,23.27,33500.0,,38340,-0.058,23.27,23.27,23.1425,22.4843333333
20160823,60,23.27,,23.27,23.27,23.27,27117.0,,38400,-0.066,23.27,23.27,23.1905,22.5233333333
20160823,60,23.27,,23.27,23.27,23.27,25400.0,,38460,-0.072,23.27,23.27,23.2265,22.558
20160823,60,23.27,,23.27,23.27,23.27,59800.0,,38520,-0.076,23.27,23.27,23.228,22.5893333333
20160823,60,23.27,,23.27,23.27,23.27,29430.0,,38580,-0.079,23.27,23.27,23.2365,22.6148333333
20160823,60,23.27,,23.27,23.27,23.27,24600.0,,38640,-0.08,23.27,23.27,23.25,22.6403333333
20160823,60,23.27,,23.27,23.27,23.27,31583.0,,38700,-0.081,23.27,23.27,23.2645,22.6576666667
20160823,60,23.27,,23.27,23.27,23.27,49100.0,,38760,-0.081,23.27,23.27,23.27,22.6748333333
20160823,60,23.27,,23.27,23.27,23.27,17600.0,,38820,-0.08,23.27,23.27,23.27,22.6945
20160823,60,23.27,,23.27,23.27,23.27,13200.0,,38880,-0.078,23.27,23.27,23.27,22.705
20160823,60,23.27,,23.27,23.27,23.27,11100.0,,38940,-0.076,23.27,23.27,23.27,22.7198333333
20160823,60,23.27,,23.27,23.27,23.27,12800.0,,39000,-0.074,23.27,23.27,23.27,22.7316666667
20160823,60,23.27,,23.27,23.27,23.27,20550.0,,39060,-0.072,23.27,23.27,23.27,22.7483333333
20160823,60,23.27,,23.27,23.27,23.27,117900.0,,39120,-0.069,23.27,23.27,23.27,22.7663333333
20160823,60,23.27,,23.27,23.27,23.27,13600.0,,39180,-0.066,23.27,23.27,23.27,22.7811666667
20160823,60,23.27,,23.27,23.27,23.27,18500.0,,39240,-0.063,23.27,23.27,23.27,22.7998333333
20160823,60,23.27,,23.27,23.27,23.27,5800.0,,39300,-0.06,23.27,23.27,23.27,22.8208333333
20160823,60,23.27,,23.27,23.27,23.27,25810.0,,39360,-0.057,23.27,23.27,23.27,22.8413333333
20160823,60,23.27,,23.27,23.27,23.27,13800.0,,39420,-0.054,23.27,23.27,23.27,22.8583333333
20160823,60,23.27,,23.27,23.27,23.27,252350.0,,39480,-0.051,23.27,23.27,23.27,22.8771666667
20160823,60,23.27,,23.27,23.27,23.27,2218253.0,,39540,-0.048,23.27,23.27,23.27,22.8948333333
20160823,60,23.27,,23.27,23.27,23.27,2023557.0,,39600,-0.045,23.27,23.27,23.27,22.9105
20160823,60,23.27,,23.27,23.27,23.27,85800.0,,39660,-0.042,23.27,23.27,23.27,22.9245
20160823,60,23.27,,23.27,23.27,23.27,72400.0,,39720,-0.04,23.27,23.27,23.27,22.9421666667
20160823,60,23.27,,23.27,23.27,23.27,22400.0,,39780,-0.037,23.27,23.27,23.27,22.9578333333
20160823,60,23.27,,23.27,23.27,23.27,22200.0,,39840,-0.035,23.27,23.27,23.27,22.973
20160823,60,23.27,,23.27,23.27,23.27,14800.0,,39900,-0.033,23.27,23.27,23.27,22.99
20160823,60,23.27,,23.27,23.27,23.27,57500.0,,39960,-0.031,23.27,23.27,23.27,23.008
20160823,60,23.27,,23.27,23.27,23.27,17800.0,,40020,-0.028,23.27,23.27,23.27,23.0273333333
20160823,60,23.27,,23.27,23.27,23.27,10900.0,,40080,-0.026,23.27,23.27,23.27,23.0451666667
20160823,60,23.27,,23.27,23.27,23.27,97032.0,,40140,-0.025,23.27,23.27,23.27,23.0626666667
20160823,60,23.27,,23.27,23.27,23.27,9705.0,,40200,-0.023,23.27,23.27,23.27,23.0791666667
20160823,60,23.27,,23.27,23.27,23.27,29800.0,,40260,-0.021,23.27,23.27,23.27,23.0951666667
20160823,60,23.27,,23.27,23.27,23.27,44400.0,,40320,-0.02,23.27,23.27,23.27,23.1108333333
